-0.40,0.53,10.12,-0.73,-2.40,-2.21
-0.40,0.55,10.11,-0.39,-2.55,-2.02
-0.44,0.47,10.14,-0.50,-2.43,-2.22
-0.42,0.49,10.05,-0.38,-2.16,-2.46
-0.45,0.55,10.12,-0.59,-2.36,-2.18
-0.43,0.51,10.10,-0.46,-2.25,-2.23
-0.43,0.53,10.13,-0.62,-2.40,-2.35
-0.45,0.48,10.08,-0.31,-2.45,-2.22
-0.41,0.54,10.05,-0.35,-2.44,-1.92
-0.45,0.53,10.09,-0.38,-2.53,-2.20
-0.42,0.54,10.09,-0.54,-2.47,-2.31
-0.43,0.51,10.17,-0.51,-2.45,-2.18
-0.40,0.56,10.11,-0.36,-2.27,-2.18
-0.39,0.55,10.10,-0.51,-2.53,-2.20
-0.43,0.54,10.10,-0.29,-2.38,-2.08
-0.43,0.51,10.13,-0.26,-2.43,-2.21
-0.43,0.55,10.09,-0.68,-2.32,-2.00
-0.47,0.50,10.09,-0.73,-2.64,-2.12
-0.45,0.54,10.08,-0.65,-2.17,-2.21
-0.43,0.53,10.11,-0.45,-2.31,-2.26
-0.40,0.50,10.10,-0.39,-2.39,-2.48
-0.44,0.52,10.08,-0.56,-2.59,-2.12
-0.44,0.52,10.18,-0.50,-2.27,-2.17
-0.44,0.51,10.19,-0.49,-2.42,-2.10
-0.40,0.52,10.15,-0.40,-2.38,-2.08
-0.44,0.54,10.06,-0.27,-2.54,-2.20
-0.43,0.55,10.15,-0.44,-2.45,-2.01
-0.40,0.51,10.09,-0.59,-2.29,-2.21
-0.43,0.51,10.16,-0.53,-2.18,-2.22
-0.41,0.54,10.09,-0.47,-2.45,-2.25
-0.43,0.55,10.16,-0.63,-2.39,-2.37
-0.45,0.56,10.11,-0.41,-2.35,-1.92
-0.42,0.53,10.13,-0.32,-2.42,-2.46
-0.42,0.55,10.14,-0.48,-2.46,-2.37
-0.39,0.52,10.09,-0.58,-2.18,-2.17
-0.40,0.55,10.09,-0.27,-2.36,-2.20
-0.42,0.54,10.13,-0.48,-2.48,-2.06
-0.41,0.48,10.07,-0.54,-2.35,-1.95
-0.46,0.52,10.10,-0.42,-2.58,-2.12
-0.43,0.50,10.12,-0.66,-2.43,-1.93
-0.40,0.53,10.10,-0.68,-2.29,-2.19
-0.38,0.53,10.03,-0.47,-2.42,-2.30
-0.41,0.52,10.13,-0.22,-2.47,-2.23
-0.41,0.55,10.12,-0.53,-2.30,-2.41
-0.40,0.54,10.14,-0.39,-2.56,-1.83
-0.40,0.50,10.11,-0.44,-2.32,-2.13
-0.43,0.52,10.11,-0.55,-2.33,-2.34
-0.43,0.54,10.07,-0.45,-2.38,-1.75
-0.48,0.51,10.12,-0.33,-2.24,-2.23
-0.42,0.51,10.11,-0.42,-2.29,-2.15
-0.40,0.52,10.10,-0.36,-2.28,-2.18
-0.43,0.54,10.15,-0.48,-2.45,-2.15
-0.39,0.52,10.07,-0.36,-2.52,-2.07
-0.43,0.52,10.06,-0.73,-2.18,-2.39
-0.40,0.53,10.13,-0.35,-2.42,-2.14
-0.43,0.51,10.12,-0.75,-2.67,-2.05
-0.44,0.50,10.11,-0.52,-2.01,-1.98
-0.45,0.50,10.16,-0.32,-2.42,-1.75
-0.44,0.51,10.09,-0.48,-2.46,-2.48
-0.42,0.50,10.15,-0.47,-2.39,-2.28
-0.41,0.54,10.12,-0.33,-2.52,-2.39
-0.40,0.55,10.17,-0.57,-2.28,-2.38
-0.44,0.51,10.10,-0.41,-2.42,-2.38
-0.44,0.51,10.16,-0.63,-2.15,-2.20
-0.40,0.52,10.06,-0.35,-2.28,-2.23
-0.41,0.54,10.09,-0.46,-2.33,-2.15
-0.42,0.56,10.09,-0.39,-2.42,-2.31
-0.41,0.51,10.07,-0.45,-2.26,-2.11
-0.40,0.51,10.09,-0.50,-2.43,-2.43
-0.44,0.54,10.12,-0.30,-2.02,-2.12
-0.41,0.51,10.03,-0.23,-2.42,-2.15
-0.40,0.54,10.13,-0.32,-2.55,-2.11
-0.41,0.51,10.12,-0.31,-2.49,-2.38
-0.42,0.50,10.14,-0.58,-2.16,-2.18
-0.42,0.55,10.14,-0.45,-2.32,-2.25
-0.41,0.55,10.10,-0.37,-2.80,-2.12
-0.41,0.52,10.12,-0.67,-2.58,-2.07
-0.40,0.49,10.11,-0.45,-2.43,-2.00
-0.42,0.52,10.07,-0.32,-2.25,-2.05
-0.42,0.54,10.09,-0.39,-2.51,-2.21
-0.41,0.51,10.16,-0.18,-2.22,-2.31
-0.42,0.49,10.14,-0.23,-2.29,-2.24
-0.40,0.57,10.04,-0.47,-2.12,-2.10
-0.42,0.55,10.10,-0.49,-2.37,-2.07
-0.43,0.51,10.11,-0.58,-2.54,-2.48
-0.40,0.50,10.12,-0.52,-2.33,-1.88
-0.43,0.52,10.10,-0.44,-2.38,-2.26
-0.44,0.53,10.08,-0.63,-2.48,-2.23
-0.41,0.50,10.17,-0.51,-2.41,-1.94
-0.42,0.51,10.09,-0.33,-2.47,-1.94
-0.42,0.53,10.09,-0.62,-2.46,-2.25
-0.40,0.56,10.14,-0.53,-2.45,-2.13
-0.45,0.52,10.10,-0.34,-2.36,-2.24
-0.41,0.54,10.12,-0.52,-2.45,-2.10
-0.46,0.53,10.16,-0.58,-2.52,-2.23
-0.41,0.54,10.09,-0.52,-2.40,-2.33
-0.43,0.51,10.04,-0.59,-2.44,-1.94
-0.41,0.49,10.19,-0.59,-2.54,-2.30
-0.40,0.53,10.03,-0.43,-2.27,-2.07
-0.41,0.52,10.12,-0.45,-2.19,-2.19
-0.45,0.53,10.08,-0.43,-2.71,-2.28
-0.41,0.52,10.16,-0.57,-2.48,-2.07
-0.40,0.53,10.16,-0.56,-2.38,-2.31
-0.45,0.52,10.12,-0.57,-2.55,-2.20
-0.40,0.57,10.13,-0.50,-2.28,-2.11
-0.38,0.52,10.14,-0.37,-2.47,-2.23
-0.42,0.53,10.11,-0.51,-2.23,-2.15
-0.42,0.55,10.17,-0.45,-2.25,-2.23
-0.46,0.50,10.04,-0.71,-2.21,-2.15
-0.44,0.50,10.14,-0.43,-2.19,-2.17
-0.42,0.52,10.06,-0.55,-2.40,-2.06
-0.44,0.48,10.17,-0.53,-2.27,-2.28
-0.45,0.52,10.12,-0.42,-2.06,-2.37
-0.44,0.51,10.08,-0.45,-2.25,-2.32
-0.39,0.51,10.11,-0.40,-2.40,-2.08
-0.45,0.55,10.16,-0.42,-2.28,-2.26
-0.44,0.51,10.11,-0.40,-2.41,-2.18
-0.43,0.50,10.06,-0.34,-2.43,-2.10
-0.41,0.53,10.14,-0.56,-2.48,-2.15
-0.43,0.57,10.08,-0.48,-2.38,-2.00
-0.42,0.51,10.08,-0.57,-2.25,-2.22
-0.38,0.56,10.11,-0.32,-2.45,-2.15
-0.39,0.52,10.11,-0.54,-2.29,-2.08
-0.40,0.51,10.17,-0.49,-2.30,-2.05
-0.42,0.52,10.06,-0.50,-2.33,-1.93
-0.42,0.57,10.07,-0.48,-2.72,-1.88
-0.43,0.51,10.13,-0.73,-2.13,-2.30
-0.41,0.48,10.09,-0.45,-2.33,-2.36
-0.44,0.55,10.11,-0.55,-2.62,-2.04
-0.44,0.51,10.12,-0.59,-2.53,-2.12
-0.40,0.48,10.13,-0.50,-2.48,-2.19
-0.39,0.54,10.12,-0.71,-2.51,-2.06
-0.41,0.51,10.13,-0.33,-2.36,-2.07
-0.46,0.54,10.14,-0.52,-2.41,-2.00
-0.42,0.47,10.11,-0.51,-2.34,-1.94
-0.46,0.51,10.09,-0.62,-2.48,-2.11
-0.37,0.50,10.14,-0.52,-2.25,-2.38
-0.40,0.51,10.10,-0.55,-2.41,-2.17
-0.46,0.51,10.05,-0.56,-2.32,-2.30
-0.44,0.49,10.14,-0.53,-2.40,-2.35
-0.39,0.48,10.12,-0.55,-2.62,-2.54
-0.40,0.55,10.11,-0.38,-2.62,-2.23
-0.43,0.51,10.06,-0.64,-2.35,-2.05
-0.42,0.54,10.18,-0.43,-2.41,-2.41
-0.45,0.50,10.15,-0.52,-2.52,-2.02
-0.42,0.51,10.08,-0.32,-2.75,-2.24
-0.42,0.52,10.08,-0.32,-2.52,-2.41
-0.42,0.51,10.06,-0.42,-2.12,-2.21
-0.39,0.46,10.13,-0.36,-2.35,-2.24
-0.43,0.53,10.12,-0.38,-2.56,-2.15
-0.41,0.54,10.08,-0.63,-2.42,-2.08
-0.43,0.51,10.15,-0.60,-2.65,-2.18
-0.41,0.52,10.04,-0.64,-2.08,-2.11
-0.41,0.51,10.04,-0.66,-2.08,-2.14
-0.40,0.53,10.08,-0.42,-2.35,-1.99
-0.41,0.55,10.14,-0.38,-2.38,-2.45
-0.45,0.53,10.10,-0.55,-2.37,-2.17
-0.43,0.55,10.10,-0.42,-2.47,-2.22
-0.44,0.50,10.13,-0.54,-2.32,-2.17
-0.41,0.50,10.09,-0.45,-2.22,-2.32
-0.40,0.51,10.07,-0.51,-2.23,-2.41
-0.40,0.52,10.11,-0.50,-2.08,-2.14
-0.41,0.53,10.09,-0.60,-2.40,-2.02
-0.42,0.54,10.15,-0.54,-2.30,-1.92
-0.44,0.55,10.13,-0.41,-2.33,-2.28
-0.43,0.51,10.12,-0.49,-2.28,-2.20
-0.40,0.53,10.12,-0.28,-2.17,-1.95
-0.39,0.53,10.12,-0.31,-2.40,-1.95
-0.42,0.49,10.11,-0.55,-2.14,-2.18
-0.41,0.53,10.09,-0.65,-2.26,-2.25
-0.43,0.53,10.14,-0.34,-2.62,-2.28
-0.44,0.51,10.06,-0.58,-2.22,-2.42
-0.38,0.56,10.09,-0.37,-2.45,-2.18
-0.42,0.51,10.12,-0.53,-2.21,-2.08
-0.40,0.51,10.09,-0.51,-2.60,-1.96
-0.43,0.50,10.05,-0.56,-2.52,-1.98
-0.45,0.52,10.18,-0.73,-2.49,-2.08
-0.39,0.50,10.09,-0.52,-2.52,-2.25
-0.42,0.51,10.07,-0.29,-2.51,-1.97
-0.40,0.51,10.14,-0.38,-2.28,-2.42
-0.44,0.54,10.11,-0.51,-2.55,-2.23
-0.40,0.56,10.13,-0.35,-2.38,-2.07
-0.43,0.52,10.07,-0.46,-2.49,-2.22
-0.44,0.54,10.11,-0.45,-2.52,-2.13
-0.42,0.54,10.07,-0.66,-2.23,-1.88
-0.41,0.55,10.09,-0.44,-2.33,-1.87
-0.41,0.52,10.11,-0.37,-2.42,-2.14
-0.43,0.53,10.10,-0.42,-2.26,-1.82
-0.43,0.53,10.15,-0.48,-2.42,-2.10
-0.39,0.52,10.13,-0.52,-2.32,-2.23
-0.45,0.50,10.11,-0.32,-2.31,-2.08
-0.40,0.52,10.10,-0.28,-2.35,-2.29
-0.43,0.53,10.13,-0.63,-1.98,-2.05
-0.41,0.53,10.10,-0.48,-2.40,-2.32
-0.47,0.53,10.18,-0.38,-2.45,-2.61
-0.41,0.51,10.12,-0.54,-2.29,-2.24
-0.41,0.55,10.13,-0.48,-2.28,-2.02
-0.44,0.51,10.01,-0.47,-2.44,-2.15
-0.42,0.54,10.10,-0.30,-2.24,-1.92
-0.40,0.54,10.07,-0.43,-2.36,-1.92
-0.43,0.54,10.13,-0.59,-2.54,-2.50
-0.44,0.49,10.09,-0.49,-2.30,-2.01
-0.40,0.53,10.11,-0.47,-2.43,-2.24
-0.44,0.52,10.10,-0.50,-2.34,-2.11
-0.41,0.51,10.12,-0.51,-2.45,-2.38
-0.44,0.58,10.12,-0.73,-2.11,-2.15
-0.38,0.50,10.13,-0.44,-2.47,-2.25
-0.43,0.54,10.09,-0.48,-2.36,-2.48
-0.43,0.52,10.13,-0.44,-2.29,-2.27
-0.42,0.54,10.10,-0.45,-2.32,-2.15
-0.44,0.52,10.11,-0.42,-2.46,-2.32
-0.42,0.55,10.09,-0.44,-2.52,-2.39
-0.45,0.52,10.09,-0.52,-2.31,-2.22
-0.43,0.54,10.05,-0.48,-2.47,-2.01
-0.46,0.52,10.05,-0.50,-2.37,-1.92
-0.41,0.54,10.13,-0.39,-2.47,-1.98
-0.40,0.51,10.07,-0.58,-2.45,-2.26
-0.45,0.52,10.12,-0.35,-2.34,-2.03
-0.43,0.55,10.14,-0.61,-2.48,-2.05
-0.43,0.49,10.14,-0.55,-2.35,-1.99
-0.39,0.56,10.16,-0.55,-2.42,-2.00
-0.39,0.53,10.13,-0.83,-2.39,-2.08
-0.41,0.56,10.07,-0.42,-2.58,-1.79
-0.42,0.52,10.12,-0.65,-2.23,-2.23
-0.41,0.56,10.12,-0.65,-2.32,-2.46
-0.42,0.51,10.15,-0.67,-2.36,-1.79
-0.39,0.52,10.10,-0.48,-2.42,-2.42
-0.44,0.55,10.08,-0.45,-2.37,-2.22
-0.39,0.51,10.12,-0.60,-2.19,-2.01
-0.42,0.53,10.14,-0.46,-2.15,-2.21
-0.44,0.53,10.13,-0.52,-2.21,-2.22
-0.44,0.52,10.14,-0.62,-2.48,-2.25
-0.39,0.54,10.11,-0.50,-2.35,-2.19
-0.43,0.51,10.15,-0.50,-2.42,-2.20
-0.42,0.53,10.07,-0.51,-2.27,-2.11
-0.44,0.55,10.10,-0.63,-2.36,-2.26
-0.41,0.53,10.07,-0.51,-2.40,-2.34
-0.45,0.51,10.10,-0.64,-2.52,-1.92
-0.41,0.52,10.16,-0.59,-2.48,-2.35
-0.45,0.53,10.08,-0.61,-2.47,-2.16
-0.41,0.49,10.08,-0.43,-2.32,-2.09
-0.41,0.53,10.14,-0.48,-2.24,-2.22
-0.40,0.49,10.12,-0.38,-2.32,-2.27
-0.43,0.54,10.11,-0.54,-2.46,-2.11
-0.41,0.55,10.16,-0.52,-2.37,-2.38
-0.44,0.52,10.08,-0.48,-2.22,-2.03
-0.42,0.53,10.12,-0.59,-2.25,-2.18
-0.40,0.52,10.11,-0.49,-2.25,-2.38
-0.42,0.52,10.07,-0.24,-2.45,-2.03
-0.44,0.48,10.12,-0.65,-2.58,-1.89
-0.40,0.51,10.07,-0.40,-2.55,-2.05
-0.45,0.51,10.08,-0.38,-2.26,-2.27
-0.43,0.53,10.18,-0.36,-2.43,-2.17
-0.39,0.53,10.12,-0.48,-2.30,-2.08
-0.44,0.50,10.08,-0.58,-2.11,-1.88
-0.46,0.53,10.08,-0.31,-2.41,-2.35
-0.45,0.52,10.11,-0.57,-2.38,-2.25
-0.42,0.54,10.11,-0.35,-2.64,-1.98
-0.44,0.54,10.13,-0.46,-2.50,-2.22
-0.38,0.53,10.12,-0.69,-2.39,-2.23
-0.42,0.55,10.15,-0.43,-2.52,-2.25
-0.43,0.51,10.13,-0.26,-2.58,-2.17
-0.46,0.52,10.11,-0.48,-2.21,-2.17
-0.42,0.51,10.11,-0.43,-2.38,-2.25
-0.45,0.53,10.12,-0.51,-2.39,-2.31
-0.38,0.52,10.13,-0.54,-2.40,-2.06
-0.40,0.57,10.10,-0.35,-2.48,-2.28
-0.42,0.54,10.09,-0.47,-2.26,-2.15
-0.40,0.54,10.10,-0.52,-2.44,-2.33
-0.43,0.53,10.15,-0.39,-2.57,-1.89
-0.41,0.51,10.15,-0.51,-2.38,-1.92
-0.44,0.52,10.15,-0.39,-2.23,-2.14
-0.41,0.52,10.08,-0.32,-2.33,-2.12
-0.41,0.54,10.13,-0.60,-2.45,-2.05
-0.41,0.51,10.09,-0.54,-2.30,-2.50
-0.43,0.52,10.12,-0.60,-2.58,-2.18
-0.43,0.51,10.14,-0.22,-2.38,-2.07
-0.42,0.52,10.08,-0.41,-2.38,-1.95
-0.43,0.53,10.09,-0.38,-2.24,-2.18
-0.44,0.51,10.11,-0.39,-2.49,-1.97
-0.44,0.52,10.07,-0.30,-2.30,-2.09
-0.41,0.52,10.04,-0.64,-2.54,-2.03
-0.38,0.49,10.10,-0.68,-2.48,-2.06
-0.43,0.54,10.07,-0.32,-2.15,-2.42
-0.43,0.51,10.11,-0.44,-2.26,-2.13
-0.44,0.55,10.09,-0.49,-2.45,-1.85
-0.38,0.51,10.07,-0.29,-2.33,-2.15
-0.45,0.55,10.07,-0.30,-2.52,-1.95
-0.43,0.51,10.15,-0.59,-2.26,-2.05
-0.45,0.52,10.08,-0.53,-2.57,-2.20
-0.41,0.51,10.11,-0.55,-2.26,-2.05
-0.40,0.49,10.10,-0.51,-2.32,-2.01
-0.39,0.51,10.08,-0.57,-2.32,-2.07
-0.40,0.53,10.09,-0.48,-2.37,-2.62
-0.41,0.53,10.02,-0.50,-2.17,-2.17
-0.42,0.53,10.08,-0.53,-2.40,-2.36
-0.41,0.53,10.07,-0.33,-2.43,-2.19
-0.41,0.52,10.12,-0.48,-2.42,-2.25
-0.45,0.54,10.11,-0.55,-2.55,-2.31
-0.41,0.51,10.13,-0.35,-2.15,-2.38
-0.41,0.54,10.07,-0.22,-2.42,-2.08
-0.46,0.52,10.15,-0.50,-2.48,-2.04
-0.36,0.54,10.10,-0.47,-2.52,-2.12
-0.45,0.56,10.09,-0.46,-2.48,-2.47
-0.39,0.53,10.08,-0.53,-2.32,-2.32
-0.41,0.53,10.08,-0.41,-2.56,-2.18
-0.41,0.56,10.13,-0.31,-2.51,-2.12
-0.40,0.53,10.04,-0.52,-2.41,-2.33
-0.45,0.51,10.08,-0.59,-2.45,-2.12
-0.40,0.49,10.11,-0.52,-2.58,-2.39
-0.43,0.56,10.08,-0.41,-2.35,-1.68
-0.44,0.50,10.15,-0.36,-2.37,-2.27
-0.47,0.52,10.11,-0.50,-2.14,-1.98
-0.44,0.56,10.11,-0.50,-2.45,-2.27
-0.41,0.50,10.11,-0.63,-2.45,-2.35
-0.45,0.51,10.10,-0.47,-2.17,-2.04
-0.44,0.54,10.08,-0.54,-2.63,-2.18
-0.40,0.52,10.10,-0.48,-2.60,-1.78
-0.39,0.52,10.11,-0.44,-2.42,-2.01
-0.42,0.55,10.08,-0.46,-2.48,-2.03
-0.42,0.50,10.07,-0.45,-2.42,-2.12
-0.43,0.54,10.04,-0.38,-2.46,-2.20
-0.40,0.52,10.16,-0.49,-2.34,-2.03
-0.38,0.52,10.11,-0.43,-2.26,-1.97
-0.45,0.55,10.10,-0.47,-2.38,-1.99
-0.42,0.53,10.13,-0.58,-2.29,-2.33
-0.41,0.50,10.13,-0.61,-2.21,-2.05
-0.44,0.52,10.07,-0.48,-2.41,-2.12
-0.41,0.49,10.14,-0.40,-2.39,-2.03
-0.41,0.50,10.07,-0.48,-2.32,-2.35
-0.37,0.52,10.10,-0.52,-2.33,-2.31
-0.46,0.52,10.13,-0.55,-2.39,-2.15
-0.43,0.53,10.11,-0.46,-2.17,-1.94
